parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,idx0,inst,j,pname,pstyle,ptype,usecol,x,y,zone
pname:stosylayer1pp_inst:0_ptype:pp_pstyle:m_i:25_j:5_zone:1,log,factor,1.2531952991030226,0.4,5.0,stosylayer1pp,1.0,0.0,1,25,,0,5,stosylayer1pp,m,pp,,,,1
pname:stosylayer1pp_inst:0_ptype:pp_pstyle:m_i:25_j:15_zone:1,log,factor,1.4371164101388432,0.4,5.0,stosylayer1pp,1.0,0.0,1,25,,0,15,stosylayer1pp,m,pp,,,,1
pname:stosylayer1pp_inst:0_ptype:pp_pstyle:m_i:35_j:5_zone:1,log,factor,1.3169617139678926,0.4,5.0,stosylayer1pp,1.0,0.0,1,35,,0,5,stosylayer1pp,m,pp,,,,1
pname:stosylayer1pp_inst:0_ptype:pp_pstyle:m_i:35_j:15_zone:1,log,factor,1.3778154223801402,0.4,5.0,stosylayer1pp,1.0,0.0,1,35,,0,15,stosylayer1pp,m,pp,,,,1
pname:nelayer1pp_inst:0_ptype:pp_pstyle:m_i:5_j:5_zone:1,log,factor,0.5542768178530194,0.4,5.0,nelayer1pp,1.0,0.0,1,5,,0,5,nelayer1pp,m,pp,,,,1
pname:nelayer1pp_inst:0_ptype:pp_pstyle:m_i:5_j:15_zone:1,log,factor,0.5241380241577173,0.4,5.0,nelayer1pp,1.0,0.0,1,5,,0,15,nelayer1pp,m,pp,,,,1
pname:nelayer1pp_inst:0_ptype:pp_pstyle:m_i:15_j:15_zone:1,log,factor,0.6098602579989829,0.4,5.0,nelayer1pp,1.0,0.0,1,15,,0,15,nelayer1pp,m,pp,,,,1
pname:nelayer1pp_inst:0_ptype:pp_pstyle:m_i:25_j:5_zone:1,log,factor,1.032807052589656,0.4,5.0,nelayer1pp,1.0,0.0,1,25,,0,5,nelayer1pp,m,pp,,,,1
pname:nelayer1pp_inst:0_ptype:pp_pstyle:m_i:25_j:15_zone:1,log,factor,0.8555219751452978,0.4,5.0,nelayer1pp,1.0,0.0,1,25,,0,15,nelayer1pp,m,pp,,,,1
pname:nelayer1pp_inst:0_ptype:pp_pstyle:m_i:35_j:5_zone:1,log,factor,1.1716308670955506,0.4,5.0,nelayer1pp,1.0,0.0,1,35,,0,5,nelayer1pp,m,pp,,,,1
pname:nelayer1pp_inst:0_ptype:pp_pstyle:m_i:35_j:15_zone:1,log,factor,0.9199033143363193,0.4,5.0,nelayer1pp,1.0,0.0,1,35,,0,15,nelayer1pp,m,pp,,,,1
pname:nelayer2pp_inst:0_ptype:pp_pstyle:m_i:5_j:5_zone:1,log,factor,0.6717474718755095,0.4,5.0,nelayer2pp,1.0,0.0,1,5,,0,5,nelayer2pp,m,pp,,,,1
pname:nelayer2pp_inst:0_ptype:pp_pstyle:m_i:5_j:15_zone:1,log,factor,0.6581782991866678,0.4,5.0,nelayer2pp,1.0,0.0,1,5,,0,15,nelayer2pp,m,pp,,,,1
pname:nelayer2pp_inst:0_ptype:pp_pstyle:m_i:15_j:15_zone:1,log,factor,0.48438683084657913,0.4,5.0,nelayer2pp,1.0,0.0,1,15,,0,15,nelayer2pp,m,pp,,,,1
pname:nelayer2pp_inst:0_ptype:pp_pstyle:m_i:25_j:5_zone:1,log,factor,0.5198320907693422,0.4,5.0,nelayer2pp,1.0,0.0,1,25,,0,5,nelayer2pp,m,pp,,,,1
pname:nelayer2pp_inst:0_ptype:pp_pstyle:m_i:25_j:15_zone:1,log,factor,0.5645463560301267,0.4,5.0,nelayer2pp,1.0,0.0,1,25,,0,15,nelayer2pp,m,pp,,,,1
pname:nelayer2pp_inst:0_ptype:pp_pstyle:m_i:35_j:5_zone:1,log,factor,0.5842914975703021,0.4,5.0,nelayer2pp,1.0,0.0,1,35,,0,5,nelayer2pp,m,pp,,,,1
pname:nelayer2pp_inst:0_ptype:pp_pstyle:m_i:35_j:15_zone:1,log,factor,0.5352395442144811,0.4,5.0,nelayer2pp,1.0,0.0,1,35,,0,15,nelayer2pp,m,pp,,,,1
pname:nelayer3pp_inst:0_ptype:pp_pstyle:m_i:5_j:5_zone:1,log,factor,1.239429011887945,0.4,5.0,nelayer3pp,1.0,0.0,1,5,,0,5,nelayer3pp,m,pp,,,,1
pname:nelayer3pp_inst:0_ptype:pp_pstyle:m_i:5_j:15_zone:1,log,factor,1.335709115630403,0.4,5.0,nelayer3pp,1.0,0.0,1,5,,0,15,nelayer3pp,m,pp,,,,1
pname:nelayer3pp_inst:0_ptype:pp_pstyle:m_i:15_j:15_zone:1,log,factor,1.0232674141987828,0.4,5.0,nelayer3pp,1.0,0.0,1,15,,0,15,nelayer3pp,m,pp,,,,1
pname:nelayer3pp_inst:0_ptype:pp_pstyle:m_i:25_j:5_zone:1,log,factor,0.8929702662972026,0.4,5.0,nelayer3pp,1.0,0.0,1,25,,0,5,nelayer3pp,m,pp,,,,1
pname:nelayer3pp_inst:0_ptype:pp_pstyle:m_i:25_j:15_zone:1,log,factor,1.1016790367341316,0.4,5.0,nelayer3pp,1.0,0.0,1,25,,0,15,nelayer3pp,m,pp,,,,1
pname:nelayer3pp_inst:0_ptype:pp_pstyle:m_i:35_j:5_zone:1,log,factor,1.157540154852366,0.4,5.0,nelayer3pp,1.0,0.0,1,35,,0,5,nelayer3pp,m,pp,,,,1
pname:nelayer3pp_inst:0_ptype:pp_pstyle:m_i:35_j:15_zone:1,log,factor,0.8384898692145115,0.4,5.0,nelayer3pp,1.0,0.0,1,35,,0,15,nelayer3pp,m,pp,,,,1
pname:rch_recharge_1tcn_inst:0_ptype:cn_pstyle:m,log,factor,0.8843274867788148,0.5,1.5,rch_recharge_1tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_2tcn_inst:0_ptype:cn_pstyle:m,log,factor,0.9809600746496745,0.5,1.5,rch_recharge_2tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_3tcn_inst:0_ptype:cn_pstyle:m,log,factor,0.9991283369481482,0.5,1.5,rch_recharge_3tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_4tcn_inst:0_ptype:cn_pstyle:m,log,factor,0.8829006026677529,0.5,1.5,rch_recharge_4tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_5tcn_inst:0_ptype:cn_pstyle:m,log,factor,1.0426463918243196,0.5,1.5,rch_recharge_5tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_6tcn_inst:0_ptype:cn_pstyle:m,log,factor,0.9502366607115457,0.5,1.5,rch_recharge_6tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_7tcn_inst:0_ptype:cn_pstyle:m,log,factor,1.0420958103607096,0.5,1.5,rch_recharge_7tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_8tcn_inst:0_ptype:cn_pstyle:m,log,factor,0.9689225549658139,0.5,1.5,rch_recharge_8tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_9tcn_inst:0_ptype:cn_pstyle:m,log,factor,0.8688108575759209,0.5,1.5,rch_recharge_9tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_10tcn_inst:0_ptype:cn_pstyle:m,log,factor,0.8981397665283695,0.5,1.5,rch_recharge_10tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_11tcn_inst:0_ptype:cn_pstyle:m,log,factor,1.139576150172349,0.5,1.5,rch_recharge_11tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_12tcn_inst:0_ptype:cn_pstyle:m,log,factor,0.9751935846896609,0.5,1.5,rch_recharge_12tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_13tcn_inst:0_ptype:cn_pstyle:m,log,factor,1.215245878315482,0.5,1.5,rch_recharge_13tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_14tcn_inst:0_ptype:cn_pstyle:m,log,factor,0.7931555856182136,0.5,1.5,rch_recharge_14tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_15tcn_inst:0_ptype:cn_pstyle:m,log,factor,0.9436703664843014,0.5,1.5,rch_recharge_15tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_16tcn_inst:0_ptype:cn_pstyle:m,log,factor,1.0302850575368778,0.5,1.5,rch_recharge_16tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_17tcn_inst:0_ptype:cn_pstyle:m,log,factor,0.656410622500746,0.5,1.5,rch_recharge_17tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_18tcn_inst:0_ptype:cn_pstyle:m,log,factor,1.1450196700510318,0.5,1.5,rch_recharge_18tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_19tcn_inst:0_ptype:cn_pstyle:m,log,factor,1.290819122492833,0.5,1.5,rch_recharge_19tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_20tcn_inst:0_ptype:cn_pstyle:m,log,factor,0.8713264359488413,0.5,1.5,rch_recharge_20tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_21tcn_inst:0_ptype:cn_pstyle:m,log,factor,1.246750920341201,0.5,1.5,rch_recharge_21tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_22tcn_inst:0_ptype:cn_pstyle:m,log,factor,1.113721164778611,0.5,1.5,rch_recharge_22tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_23tcn_inst:0_ptype:cn_pstyle:m,log,factor,1.1922088821776011,0.5,1.5,rch_recharge_23tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_24tcn_inst:0_ptype:cn_pstyle:m,log,factor,1.0719723660740834,0.5,1.5,rch_recharge_24tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:rch_recharge_25tcn_inst:0_ptype:cn_pstyle:m,log,factor,0.9377822324113273,0.5,1.5,rch_recharge_25tcn,1.0,0.0,1,,,0,,rch,m,cn,,,,
pname:ghbcondcn_inst:0_ptype:cn_usecol:4_pstyle:m,log,factor,0.7554880517385708,0.1,10.0,ghbcondcn,1.0,0.0,1,,,0,,ghbcondcn,m,cn,4,,,
pname:ghbheadcn_inst:0_ptype:cn_usecol:3_pstyle:a,none,relative,10.514309611903329,8.0,12.0,ghbheadcn,1.0,-10.0,1,,,0,,ghbheadcn,a,cn,3,,,
pname:welcst_inst:0_ptype:cn_usecol:3_pstyle:m,log,factor,0.6317371684427192,0.25,4.0,welcst,1.0,0.0,1,,,0,,welcst,m,cn,3,,,
pname:welcst_inst:1_ptype:cn_usecol:3_pstyle:m,log,factor,0.38142521282172853,0.25,4.0,welcst,1.0,0.0,1,,,1,,welcst,m,cn,3,,,
pname:welcst_inst:2_ptype:cn_usecol:3_pstyle:m,log,factor,0.3375922171693404,0.25,4.0,welcst,1.0,0.0,1,,,2,,welcst,m,cn,3,,,
pname:welcst_inst:3_ptype:cn_usecol:3_pstyle:m,log,factor,0.6211988880598693,0.25,4.0,welcst,1.0,0.0,1,,,3,,welcst,m,cn,3,,,
pname:welcst_inst:4_ptype:cn_usecol:3_pstyle:m,log,factor,0.8681764032821835,0.25,4.0,welcst,1.0,0.0,1,,,4,,welcst,m,cn,3,,,
pname:welcst_inst:5_ptype:cn_usecol:3_pstyle:m,log,factor,0.6458736718299009,0.25,4.0,welcst,1.0,0.0,1,,,5,,welcst,m,cn,3,,,
pname:welcst_inst:6_ptype:cn_usecol:3_pstyle:m,log,factor,1.1674604004161446,0.25,4.0,welcst,1.0,0.0,1,,,6,,welcst,m,cn,3,,,
pname:welcst_inst:7_ptype:cn_usecol:3_pstyle:m,log,factor,1.0965172639627214,0.25,4.0,welcst,1.0,0.0,1,,,7,,welcst,m,cn,3,,,
pname:welcst_inst:8_ptype:cn_usecol:3_pstyle:m,log,factor,1.1443239174436068,0.25,4.0,welcst,1.0,0.0,1,,,8,,welcst,m,cn,3,,,
pname:welcst_inst:9_ptype:cn_usecol:3_pstyle:m,log,factor,0.9359429735243144,0.25,4.0,welcst,1.0,0.0,1,,,9,,welcst,m,cn,3,,,
pname:welcst_inst:10_ptype:cn_usecol:3_pstyle:m,log,factor,1.761083261605255,0.25,4.0,welcst,1.0,0.0,1,,,10,,welcst,m,cn,3,,,
pname:welcst_inst:11_ptype:cn_usecol:3_pstyle:m,log,factor,2.3711494088101976,0.25,4.0,welcst,1.0,0.0,1,,,11,,welcst,m,cn,3,,,
pname:welcst_inst:12_ptype:cn_usecol:3_pstyle:m,log,factor,2.9978507707902384,0.25,4.0,welcst,1.0,0.0,1,,,12,,welcst,m,cn,3,,,
pname:welcst_inst:13_ptype:cn_usecol:3_pstyle:m,log,factor,1.6921474901394211,0.25,4.0,welcst,1.0,0.0,1,,,13,,welcst,m,cn,3,,,
pname:welcst_inst:14_ptype:cn_usecol:3_pstyle:m,log,factor,1.5844619451823507,0.25,4.0,welcst,1.0,0.0,1,,,14,,welcst,m,cn,3,,,
pname:welcst_inst:15_ptype:cn_usecol:3_pstyle:m,log,factor,1.2773575100952999,0.25,4.0,welcst,1.0,0.0,1,,,15,,welcst,m,cn,3,,,
pname:welcst_inst:16_ptype:cn_usecol:3_pstyle:m,log,factor,1.2437301793199416,0.25,4.0,welcst,1.0,0.0,1,,,16,,welcst,m,cn,3,,,
pname:welcst_inst:17_ptype:cn_usecol:3_pstyle:m,log,factor,1.1815810250711352,0.25,4.0,welcst,1.0,0.0,1,,,17,,welcst,m,cn,3,,,
pname:welcst_inst:18_ptype:cn_usecol:3_pstyle:m,log,factor,1.121057641498545,0.25,4.0,welcst,1.0,0.0,1,,,18,,welcst,m,cn,3,,,
pname:welcst_inst:19_ptype:cn_usecol:3_pstyle:m,log,factor,3.2122047476616777,0.25,4.0,welcst,1.0,0.0,1,,,19,,welcst,m,cn,3,,,
pname:welcst_inst:20_ptype:cn_usecol:3_pstyle:m,log,factor,2.193217480664511,0.25,4.0,welcst,1.0,0.0,1,,,20,,welcst,m,cn,3,,,
pname:welcst_inst:21_ptype:cn_usecol:3_pstyle:m,log,factor,2.654653632668487,0.25,4.0,welcst,1.0,0.0,1,,,21,,welcst,m,cn,3,,,
pname:welcst_inst:22_ptype:cn_usecol:3_pstyle:m,log,factor,3.2425314354954793,0.25,4.0,welcst,1.0,0.0,1,,,22,,welcst,m,cn,3,,,
pname:welcst_inst:23_ptype:cn_usecol:3_pstyle:m,log,factor,3.349719220584646,0.25,4.0,welcst,1.0,0.0,1,,,23,,welcst,m,cn,3,,,
pname:welcst_inst:24_ptype:cn_usecol:3_pstyle:m,log,factor,4.0,0.25,4.0,welcst,1.0,0.0,1,,,24,,welcst,m,cn,3,,,
pname:sfrcondcn_inst:0_ptype:cn_usecol:9_pstyle:m,log,factor,1.8604685601596485,0.1,10.0,sfrcondcn,1.0,0.0,1,,,0,,sfrcondcn,m,cn,9,,,
pname:sfrgr_inst:0_ptype:gr_usecol:2_pstyle:m_idx0:0,log,factor,2.174193588135824,0.1,10.0,sfrgr,1.0,0.0,1,,0,0,,sfrgr,m,gr,2,,,
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:0_x:125.00_y:9875.00_zone:1,none,factor,30.45920908012593,15.0,50.0,icstrtlayer1,1.0,0.0,1,0,,0,0,icstrtlayer1,d,gr,,125.00,9875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:1_x:375.00_y:9875.00_zone:1,none,factor,46.64542355947003,15.0,50.0,icstrtlayer1,1.0,0.0,1,0,,0,1,icstrtlayer1,d,gr,,375.00,9875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:2_x:625.00_y:9875.00_zone:1,none,factor,36.471310719136405,15.0,50.0,icstrtlayer1,1.0,0.0,1,0,,0,2,icstrtlayer1,d,gr,,625.00,9875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:3_x:875.00_y:9875.00_zone:1,none,factor,39.0370328661061,15.0,50.0,icstrtlayer1,1.0,0.0,1,0,,0,3,icstrtlayer1,d,gr,,875.00,9875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:4_x:1125.00_y:9875.00_zone:1,none,factor,44.31871141542255,15.0,50.0,icstrtlayer1,1.0,0.0,1,0,,0,4,icstrtlayer1,d,gr,,1125.00,9875.00,1
