,0,1,2,3,4,5,6,7,8,9,10,11
67,67,"(3, 2, 6)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_03_07
68,68,"(0, 2, 7)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_03_08
69,69,"(1, 2, 7)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_03_08
70,70,"(2, 2, 7)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_03_08
71,71,"(3, 2, 7)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_03_08
72,72,"(0, 2, 8)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_03_09
73,73,"(1, 2, 8)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_03_09
74,74,"(2, 2, 8)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_03_09
75,75,"(3, 2, 8)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_03_09
76,76,"(0, 2, 9)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_03_10
77,77,"(1, 2, 9)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_03_10
78,78,"(2, 2, 9)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_03_10
79,79,"(3, 2, 9)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_03_10
80,80,"(0, 2, 10)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_03_11
81,81,"(1, 2, 10)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_03_11
82,82,"(2, 2, 10)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_03_11
83,83,"(3, 2, 10)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_03_11
84,84,"(0, 2, 11)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_03_12
85,85,"(1, 2, 11)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_03_12
86,86,"(2, 2, 11)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_03_12
87,87,"(3, 2, 11)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_03_12
88,88,"(0, 3, 3)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_04_04
89,89,"(1, 3, 3)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_04_04
90,90,"(2, 3, 3)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_04_04
91,91,"(3, 3, 3)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_04_04
92,92,"(0, 3, 4)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_04_05
93,93,"(1, 3, 4)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_04_05
94,94,"(2, 3, 4)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_04_05
95,95,"(3, 3, 4)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_04_05
96,96,"(0, 3, 5)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_04_06
97,97,"(1, 3, 5)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_04_06
98,98,"(2, 3, 5)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_04_06
99,99,"(3, 3, 5)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_04_06
100,100,"(0, 3, 6)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_04_07
101,101,"(1, 3, 6)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_04_07
102,102,"(2, 3, 6)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_04_07
103,103,"(3, 3, 6)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_04_07
104,104,"(0, 3, 7)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_04_08
105,105,"(1, 3, 7)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_04_08
106,106,"(2, 3, 7)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_04_08
107,107,"(3, 3, 7)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_04_08
108,108,"(0, 3, 8)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_04_09
109,109,"(1, 3, 8)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_04_09
110,110,"(2, 3, 8)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_04_09
111,111,"(3, 3, 8)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_04_09
112,112,"(0, 3, 9)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_04_10
113,113,"(1, 3, 9)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_04_10
114,114,"(2, 3, 9)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_04_10
115,115,"(3, 3, 9)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_04_10
116,116,"(0, 3, 10)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_04_11
117,117,"(1, 3, 10)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_04_11
118,118,"(2, 3, 10)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_04_11
119,119,"(3, 3, 10)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_04_11
120,120,"(0, 3, 11)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_04_12
121,121,"(1, 3, 11)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_04_12
122,122,"(2, 3, 11)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_04_12
123,123,"(3, 3, 11)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_04_12
124,124,"(0, 4, 2)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_03
125,125,"(1, 4, 2)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_03
126,126,"(2, 4, 2)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_03
127,127,"(3, 4, 2)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_03
128,128,"(0, 4, 3)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_04
129,129,"(1, 4, 3)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_04
130,130,"(2, 4, 3)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_04
131,131,"(3, 4, 3)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_04
132,132,"(0, 4, 4)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_05
133,133,"(1, 4, 4)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_05
134,134,"(2, 4, 4)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_05
135,135,"(3, 4, 4)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_05
136,136,"(0, 4, 5)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_06
137,137,"(1, 4, 5)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_06
138,138,"(2, 4, 5)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_06
139,139,"(3, 4, 5)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_06
140,140,"(0, 4, 6)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_07
141,141,"(1, 4, 6)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_07
142,142,"(2, 4, 6)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_07
143,143,"(3, 4, 6)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_07
144,144,"(0, 4, 7)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_08
145,145,"(1, 4, 7)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_08
146,146,"(2, 4, 7)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_08
147,147,"(3, 4, 7)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_08
148,148,"(0, 4, 8)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_09
149,149,"(1, 4, 8)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_09
150,150,"(2, 4, 8)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_09
151,151,"(3, 4, 8)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_09
152,152,"(0, 4, 9)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_10
153,153,"(1, 4, 9)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_10
154,154,"(2, 4, 9)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_10
155,155,"(3, 4, 9)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_10
156,156,"(0, 4, 10)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_11
157,157,"(1, 4, 10)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_11
158,158,"(2, 4, 10)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_11
159,159,"(3, 4, 10)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_11
160,160,"(0, 4, 11)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_12
161,161,"(1, 4, 11)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_12
162,162,"(2, 4, 11)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_12
163,163,"(3, 4, 11)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_12
164,164,"(0, 4, 12)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_13
165,165,"(1, 4, 12)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_13
166,166,"(2, 4, 12)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_13
167,167,"(3, 4, 12)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_13
168,168,"(0, 5, 2)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_03
169,169,"(1, 5, 2)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_03
170,170,"(2, 5, 2)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_03
171,171,"(3, 5, 2)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_03
172,172,"(0, 5, 3)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_04
173,173,"(1, 5, 3)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_04
174,174,"(2, 5, 3)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_04
175,175,"(3, 5, 3)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_04
176,176,"(0, 5, 4)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_05
177,177,"(1, 5, 4)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_05
178,178,"(2, 5, 4)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_05
179,179,"(3, 5, 4)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_05
180,180,"(0, 5, 5)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_06
181,181,"(1, 5, 5)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_06
182,182,"(2, 5, 5)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_06
183,183,"(3, 5, 5)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_06
184,184,"(0, 5, 6)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_07
185,185,"(1, 5, 6)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_07
186,186,"(2, 5, 6)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_07
187,187,"(3, 5, 6)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_07
188,188,"(0, 5, 7)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_08
189,189,"(1, 5, 7)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_08
190,190,"(2, 5, 7)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_08
191,191,"(3, 5, 7)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_08
192,192,"(0, 5, 8)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_09
193,193,"(1, 5, 8)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_09
194,194,"(2, 5, 8)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_09
195,195,"(3, 5, 8)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_09
196,196,"(0, 5, 9)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_10
197,197,"(1, 5, 9)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_10
198,198,"(2, 5, 9)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_10
199,199,"(3, 5, 9)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_10
200,200,"(0, 5, 10)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_11
201,201,"(1, 5, 10)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_11
202,202,"(2, 5, 10)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_11
203,203,"(3, 5, 10)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_11
204,204,"(0, 5, 11)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_12
205,205,"(1, 5, 11)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_12
206,206,"(2, 5, 11)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_12
207,207,"(3, 5, 11)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_12
208,208,"(0, 5, 12)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_13
209,209,"(1, 5, 12)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_13
210,210,"(2, 5, 12)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_13
211,211,"(3, 5, 12)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_13
212,212,"(0, 5, 13)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_14
213,213,"(1, 5, 13)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_14
214,214,"(2, 5, 13)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_14
215,215,"(3, 5, 13)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_14
216,216,"(0, 6, 1)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_02
217,217,"(1, 6, 1)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_02
218,218,"(2, 6, 1)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_02
219,219,"(3, 6, 1)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_02
220,220,"(0, 6, 2)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_03
221,221,"(1, 6, 2)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_03
222,222,"(2, 6, 2)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_03
223,223,"(3, 6, 2)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_03
224,224,"(0, 6, 3)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_04
225,225,"(1, 6, 3)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_04
226,226,"(2, 6, 3)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_04
227,227,"(3, 6, 3)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_04
228,228,"(0, 6, 4)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_05
229,229,"(1, 6, 4)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_05
230,230,"(2, 6, 4)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_05
231,231,"(3, 6, 4)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_05
232,232,"(0, 6, 5)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_06
233,233,"(1, 6, 5)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_06
234,234,"(2, 6, 5)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_06
235,235,"(3, 6, 5)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_06
236,236,"(0, 6, 6)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_07
237,237,"(1, 6, 6)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_07
238,238,"(2, 6, 6)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_07
239,239,"(3, 6, 6)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_07
240,240,"(0, 6, 7)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_08
241,241,"(1, 6, 7)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_08
242,242,"(2, 6, 7)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_08
243,243,"(3, 6, 7)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_08
244,244,"(0, 6, 8)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_09
245,245,"(1, 6, 8)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_09
246,246,"(2, 6, 8)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_09
247,247,"(3, 6, 8)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_09
248,248,"(0, 6, 9)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_10
