,Unnamed: 0,org_file,model_file,use_cols,index_cols,fmt,sep,head_rows,upper_bound,lower_bound,operator,mlt_file,zone_file,apply_order,fac_file,pp_file,pp_fill_value,pp_lower_limit,pp_upper_limit,chkpar,zero_based
12,12,org\freyberg_mp.ne_layer3.txt,freyberg_mp.ne_layer3.txt,,, %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E,,0,0.4,0.01,m,mult\nelayer3gr_inst0_grid.csv,nelayer3gr_inst0_grid.csv.zone,999,,,,,,,False
13,13,org\freyberg_mp.ne_layer3.txt,freyberg_mp.ne_layer3.txt,,, %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E,,0,0.4,0.01,m,mult\nelayer3pp_inst0_pilotpoints.csv,nelayer3pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,nelayer3pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
14,14,org\freyberg_mp.ne_layer3.txt,freyberg_mp.ne_layer3.txt,,, %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E,,0,0.4,0.01,m,mult\nelayer3cn_inst0_constant.csv,nelayer3cn_inst0_constant.csv.zone,999,,,,,,,False
15,15,org\freyberg6.rch_recharge_1.txt,freyberg6.rch_recharge_1.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
16,16,org\freyberg6.rch_recharge_2.txt,freyberg6.rch_recharge_2.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
17,17,org\freyberg6.rch_recharge_3.txt,freyberg6.rch_recharge_3.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
18,18,org\freyberg6.rch_recharge_4.txt,freyberg6.rch_recharge_4.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
19,19,org\freyberg6.rch_recharge_5.txt,freyberg6.rch_recharge_5.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
20,20,org\freyberg6.rch_recharge_6.txt,freyberg6.rch_recharge_6.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
21,21,org\freyberg6.rch_recharge_7.txt,freyberg6.rch_recharge_7.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
22,22,org\freyberg6.rch_recharge_8.txt,freyberg6.rch_recharge_8.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
23,23,org\freyberg6.rch_recharge_9.txt,freyberg6.rch_recharge_9.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
24,24,org\freyberg6.rch_recharge_10.txt,freyberg6.rch_recharge_10.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
25,25,org\freyberg6.rch_recharge_11.txt,freyberg6.rch_recharge_11.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
26,26,org\freyberg6.rch_recharge_12.txt,freyberg6.rch_recharge_12.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
27,27,org\freyberg6.rch_recharge_13.txt,freyberg6.rch_recharge_13.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
28,28,org\freyberg6.rch_recharge_14.txt,freyberg6.rch_recharge_14.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
29,29,org\freyberg6.rch_recharge_15.txt,freyberg6.rch_recharge_15.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
30,30,org\freyberg6.rch_recharge_16.txt,freyberg6.rch_recharge_16.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
31,31,org\freyberg6.rch_recharge_17.txt,freyberg6.rch_recharge_17.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
32,32,org\freyberg6.rch_recharge_18.txt,freyberg6.rch_recharge_18.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
33,33,org\freyberg6.rch_recharge_19.txt,freyberg6.rch_recharge_19.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
34,34,org\freyberg6.rch_recharge_20.txt,freyberg6.rch_recharge_20.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
35,35,org\freyberg6.rch_recharge_21.txt,freyberg6.rch_recharge_21.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
36,36,org\freyberg6.rch_recharge_22.txt,freyberg6.rch_recharge_22.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
37,37,org\freyberg6.rch_recharge_23.txt,freyberg6.rch_recharge_23.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
38,38,org\freyberg6.rch_recharge_24.txt,freyberg6.rch_recharge_24.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
39,39,org\freyberg6.rch_recharge_25.txt,freyberg6.rch_recharge_25.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1gr_inst0_grid.csv,rch_recharge_1gr_inst0_grid.csv.zone,999,,,,,,,False
40,40,org\freyberg6.rch_recharge_1.txt,freyberg6.rch_recharge_1.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
41,41,org\freyberg6.rch_recharge_2.txt,freyberg6.rch_recharge_2.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
42,42,org\freyberg6.rch_recharge_3.txt,freyberg6.rch_recharge_3.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
43,43,org\freyberg6.rch_recharge_4.txt,freyberg6.rch_recharge_4.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
44,44,org\freyberg6.rch_recharge_5.txt,freyberg6.rch_recharge_5.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
45,45,org\freyberg6.rch_recharge_6.txt,freyberg6.rch_recharge_6.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
46,46,org\freyberg6.rch_recharge_7.txt,freyberg6.rch_recharge_7.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
47,47,org\freyberg6.rch_recharge_8.txt,freyberg6.rch_recharge_8.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
48,48,org\freyberg6.rch_recharge_9.txt,freyberg6.rch_recharge_9.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
49,49,org\freyberg6.rch_recharge_10.txt,freyberg6.rch_recharge_10.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
50,50,org\freyberg6.rch_recharge_11.txt,freyberg6.rch_recharge_11.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
51,51,org\freyberg6.rch_recharge_12.txt,freyberg6.rch_recharge_12.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
52,52,org\freyberg6.rch_recharge_13.txt,freyberg6.rch_recharge_13.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
53,53,org\freyberg6.rch_recharge_14.txt,freyberg6.rch_recharge_14.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
54,54,org\freyberg6.rch_recharge_15.txt,freyberg6.rch_recharge_15.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
55,55,org\freyberg6.rch_recharge_16.txt,freyberg6.rch_recharge_16.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
56,56,org\freyberg6.rch_recharge_17.txt,freyberg6.rch_recharge_17.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
57,57,org\freyberg6.rch_recharge_18.txt,freyberg6.rch_recharge_18.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
58,58,org\freyberg6.rch_recharge_19.txt,freyberg6.rch_recharge_19.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
59,59,org\freyberg6.rch_recharge_20.txt,freyberg6.rch_recharge_20.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
60,60,org\freyberg6.rch_recharge_21.txt,freyberg6.rch_recharge_21.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
61,61,org\freyberg6.rch_recharge_22.txt,freyberg6.rch_recharge_22.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
62,62,org\freyberg6.rch_recharge_23.txt,freyberg6.rch_recharge_23.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
63,63,org\freyberg6.rch_recharge_24.txt,freyberg6.rch_recharge_24.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
64,64,org\freyberg6.rch_recharge_25.txt,freyberg6.rch_recharge_25.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1pp_inst0_pilotpoints.csv,rch_recharge_1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,rch_recharge_1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
65,65,org\freyberg6.rch_recharge_1.txt,freyberg6.rch_recharge_1.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_1tcn_inst0_constant.csv,rch_recharge_1tcn_inst0_constant.csv.zone,999,,,,,,,False
66,66,org\freyberg6.rch_recharge_2.txt,freyberg6.rch_recharge_2.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_2tcn_inst0_constant.csv,rch_recharge_2tcn_inst0_constant.csv.zone,999,,,,,,,False
67,67,org\freyberg6.rch_recharge_3.txt,freyberg6.rch_recharge_3.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_3tcn_inst0_constant.csv,rch_recharge_3tcn_inst0_constant.csv.zone,999,,,,,,,False
68,68,org\freyberg6.rch_recharge_4.txt,freyberg6.rch_recharge_4.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_4tcn_inst0_constant.csv,rch_recharge_4tcn_inst0_constant.csv.zone,999,,,,,,,False
69,69,org\freyberg6.rch_recharge_5.txt,freyberg6.rch_recharge_5.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_5tcn_inst0_constant.csv,rch_recharge_5tcn_inst0_constant.csv.zone,999,,,,,,,False
70,70,org\freyberg6.rch_recharge_6.txt,freyberg6.rch_recharge_6.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_6tcn_inst0_constant.csv,rch_recharge_6tcn_inst0_constant.csv.zone,999,,,,,,,False
71,71,org\freyberg6.rch_recharge_7.txt,freyberg6.rch_recharge_7.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_7tcn_inst0_constant.csv,rch_recharge_7tcn_inst0_constant.csv.zone,999,,,,,,,False
72,72,org\freyberg6.rch_recharge_8.txt,freyberg6.rch_recharge_8.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_8tcn_inst0_constant.csv,rch_recharge_8tcn_inst0_constant.csv.zone,999,,,,,,,False
73,73,org\freyberg6.rch_recharge_9.txt,freyberg6.rch_recharge_9.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_9tcn_inst0_constant.csv,rch_recharge_9tcn_inst0_constant.csv.zone,999,,,,,,,False
74,74,org\freyberg6.rch_recharge_10.txt,freyberg6.rch_recharge_10.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_10tcn_inst0_constant.csv,rch_recharge_10tcn_inst0_constant.csv.zone,999,,,,,,,False
75,75,org\freyberg6.rch_recharge_11.txt,freyberg6.rch_recharge_11.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_11tcn_inst0_constant.csv,rch_recharge_11tcn_inst0_constant.csv.zone,999,,,,,,,False
76,76,org\freyberg6.rch_recharge_12.txt,freyberg6.rch_recharge_12.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_12tcn_inst0_constant.csv,rch_recharge_12tcn_inst0_constant.csv.zone,999,,,,,,,False
77,77,org\freyberg6.rch_recharge_13.txt,freyberg6.rch_recharge_13.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_13tcn_inst0_constant.csv,rch_recharge_13tcn_inst0_constant.csv.zone,999,,,,,,,False
78,78,org\freyberg6.rch_recharge_14.txt,freyberg6.rch_recharge_14.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_14tcn_inst0_constant.csv,rch_recharge_14tcn_inst0_constant.csv.zone,999,,,,,,,False
79,79,org\freyberg6.rch_recharge_15.txt,freyberg6.rch_recharge_15.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_15tcn_inst0_constant.csv,rch_recharge_15tcn_inst0_constant.csv.zone,999,,,,,,,False
80,80,org\freyberg6.rch_recharge_16.txt,freyberg6.rch_recharge_16.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_16tcn_inst0_constant.csv,rch_recharge_16tcn_inst0_constant.csv.zone,999,,,,,,,False
81,81,org\freyberg6.rch_recharge_17.txt,freyberg6.rch_recharge_17.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_17tcn_inst0_constant.csv,rch_recharge_17tcn_inst0_constant.csv.zone,999,,,,,,,False
82,82,org\freyberg6.rch_recharge_18.txt,freyberg6.rch_recharge_18.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_18tcn_inst0_constant.csv,rch_recharge_18tcn_inst0_constant.csv.zone,999,,,,,,,False
83,83,org\freyberg6.rch_recharge_19.txt,freyberg6.rch_recharge_19.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_19tcn_inst0_constant.csv,rch_recharge_19tcn_inst0_constant.csv.zone,999,,,,,,,False
84,84,org\freyberg6.rch_recharge_20.txt,freyberg6.rch_recharge_20.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_20tcn_inst0_constant.csv,rch_recharge_20tcn_inst0_constant.csv.zone,999,,,,,,,False
85,85,org\freyberg6.rch_recharge_21.txt,freyberg6.rch_recharge_21.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_21tcn_inst0_constant.csv,rch_recharge_21tcn_inst0_constant.csv.zone,999,,,,,,,False
86,86,org\freyberg6.rch_recharge_22.txt,freyberg6.rch_recharge_22.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_22tcn_inst0_constant.csv,rch_recharge_22tcn_inst0_constant.csv.zone,999,,,,,,,False
87,87,org\freyberg6.rch_recharge_23.txt,freyberg6.rch_recharge_23.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_23tcn_inst0_constant.csv,rch_recharge_23tcn_inst0_constant.csv.zone,999,,,,,,,False
88,88,org\freyberg6.rch_recharge_24.txt,freyberg6.rch_recharge_24.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_24tcn_inst0_constant.csv,rch_recharge_24tcn_inst0_constant.csv.zone,999,,,,,,,False
89,89,org\freyberg6.rch_recharge_25.txt,freyberg6.rch_recharge_25.txt,,,%15.6E,,0,0.001,0,m,mult\rch_recharge_25tcn_inst0_constant.csv,rch_recharge_25tcn_inst0_constant.csv.zone,999,,,,,,,False
90,90,org\freyberg6.ghb_stress_period_data_1.txt,freyberg6.ghb_stress_period_data_1.txt,[4],"[0, 1, 2]",free, ,0,[100.0],[0.01],m,mult\ghbcondgr_inst0_grid.csv,,999,,,,,,10.0,False
91,91,org\freyberg6.ghb_stress_period_data_1.txt,freyberg6.ghb_stress_period_data_1.txt,[4],"[0, 1, 2]",free, ,0,[100.0],[0.01],m,mult\ghbcondcn_inst0_constant.csv,,999,,,,,,10.0,False
92,92,org\freyberg6.ghb_stress_period_data_1.txt,freyberg6.ghb_stress_period_data_1.txt,[3],"[0, 1, 2]",free, ,0,[42.0],[32.5],a,mult\ghbheadgr_inst0_grid.csv,,999,,,,,,10.0,False
93,93,org\freyberg6.ghb_stress_period_data_1.txt,freyberg6.ghb_stress_period_data_1.txt,[3],"[0, 1, 2]",free, ,0,[42.0],[32.5],a,mult\ghbheadcn_inst0_constant.csv,,999,,,,,,10.0,False
